step,train_loss,val_loss,wallclock
50,1.66147,1.53498,80.9
100,1.56736,1.50612,162.3
150,1.54924,1.50611,243.3
200,1.55098,1.50409,324.0
250,1.4912,1.48687,404.8
300,1.42072,1.4851,485.3
350,1.42989,1.46448,566.0
400,1.4383,1.46129,646.6
450,1.28872,1.45815,727.4
500,1.50644,1.45823,808.0
