step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
24,24576,2.0262130969447245,0.2517867356182249,3.034145556640625,0.3688,25.17497754096985
48,49152,1.6344219460825433,0.40221524684116955,1.6845761047363281,0.5158,49.464308977127075
72,73728,1.2876315148023763,0.5336054010182526,2.1448966552734374,0.4862,74.07672476768494
96,98304,1.039340515846703,0.6285932163611796,1.3813261169433593,0.616,98.41240310668945
120,122880,0.8266713905651297,0.707839303155417,0.8346491973876953,0.7354,123.05089282989502
144,147456,0.6819632873491469,0.7600620448650067,0.7591907348632813,0.7573,147.3989291191101
168,172032,0.554942190255849,0.8071097542553111,0.7796913940429687,0.753,172.02605175971985
192,196608,0.4718164707674606,0.8367345770244985,0.6218330307006836,0.7959,196.3793694972992
216,221184,0.39218716310802404,0.8655203654598189,0.4390710723876953,0.8571,221.00303649902344
240,245760,0.34327003173991,0.883677775432956,0.5127850219726563,0.8357,245.35033249855042
264,270336,0.2940480502457864,0.9005808682633292,0.4175418388366699,0.8646,269.9749217033386
288,294912,0.25832156732211353,0.9127899019951777,0.41572313232421876,0.8654,294.3278315067291
312,319488,0.22294918759220506,0.9253561017975931,0.41191938629150393,0.873,318.9143364429474
336,344064,0.20126204992558078,0.9330350029372998,0.3692421142578125,0.8844,343.2661452293396
360,368640,0.1762325189604176,0.9414480294276565,0.3928045318603516,0.875,367.9064619541168
384,393216,0.16248857692105476,0.945324581080968,0.3611525093078613,0.888,392.22523283958435
408,417792,0.14385596848272839,0.9515679554504891,0.37298282012939454,0.8859,416.8413689136505
432,442368,0.1336853017236449,0.9551506919727427,0.39280460510253906,0.8877,441.1510238647461
456,466944,0.12061905370517813,0.9597523522359473,0.361671337890625,0.8922,465.7470769882202
480,491520,0.11525377049148063,0.9611570652535819,0.32694445419311524,0.902,490.04917097091675
504,516096,0.10345104594967328,0.9650584860651366,0.3534360893249512,0.8962,514.6667318344116
528,540672,0.09951272974876013,0.9666099102441048,0.382036735534668,0.894,538.9893612861633
552,565248,0.09145971162611764,0.9695032104454383,0.3456975288391113,0.8998,563.5692625045776
576,589824,0.08735584608833917,0.9702878037826919,0.3649420829772949,0.8948,587.8419609069824
600,614400,0.07995916442317463,0.9731859183132529,0.3667352813720703,0.8993,612.4336636066437
624,638976,0.07714486438637227,0.9739053090185196,0.36436384925842286,0.8953,636.7605128288269
648,663552,0.07241644743889311,0.9756600922579496,0.34358027801513674,0.9046,661.3343801498413
672,688128,0.06838342458170492,0.9767530400147985,0.30124293670654295,0.9162,685.6311266422272
696,712704,0.06296441033463822,0.9784211370563749,0.32036707077026366,0.9142,710.2012851238251
720,737280,0.06314818863191239,0.9784379507065387,0.3357755889892578,0.9088,734.504362821579
744,761856,0.058854217074898525,0.9799926184445433,0.32395214309692383,0.9093,759.0701055526733
768,786432,0.058116308491704925,0.9799586610671868,0.3414868530273438,0.9066,783.3884315490723
792,811008,0.05508500924447028,0.9810353134480013,0.33323838272094725,0.91,807.9295954704285
816,835584,0.05536482700374853,0.9805847455005194,0.3214349014282227,0.9163,832.2524149417877
840,860160,0.05159452254578968,0.9823597611039409,0.3856951934814453,0.8987,856.8161489963531
864,884736,0.05041369403428546,0.9827181878485308,0.31985108261108397,0.916,881.1294152736664
888,909312,0.047997550558776886,0.9836219516796519,0.31394378662109373,0.9185,905.7100529670715
912,933888,0.04653221236065621,0.9843299644813869,0.3075289192199707,0.9212,930.0238647460938
936,958464,0.04378915189411846,0.9853170017327466,0.32231201248168945,0.9158,954.6012275218964
960,983040,0.043279312087935576,0.9855597512256773,0.3338876178741455,0.9157,978.9282395839691
984,1007616,0.04059373082617997,0.9866509420466818,0.32549042053222654,0.9198,1003.5141232013702
1008,1032192,0.040951531344367416,0.9865494620679571,0.33333112869262693,0.9192,1027.8352317810059
1032,1056768,0.03785612732115508,0.9876997674128576,0.3250769065856934,0.9173,1052.4397163391113
1056,1081344,0.03710150734326363,0.9877982467053527,0.32823841247558594,0.9153,1076.7580049037933
1080,1105920,0.03526930013307979,0.988028231041289,0.32930727767944334,0.9155,1101.3503494262695
1104,1130496,0.036404264028418565,0.9873373015993494,0.31988865814208983,0.9222,1125.6540117263794
1128,1155072,0.03475349415187783,0.9880472533629518,0.3422882537841797,0.9151,1150.2594075202942
1152,1179648,0.03518913462003117,0.9879322642053605,0.3425129272460937,0.9167,1174.565665960312
1176,1204224,0.032802326133898996,0.9887999408091176,0.3308533561706543,0.9194,1199.1724157333374
1200,1228800,0.033096788054581446,0.9889466424584793,0.32393438720703127,0.9204,1223.4781503677368
