step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
390,24960,0.8470305924451765,0.7069743721231098,0.7638475723266601,0.7357,66.10326099395752
780,49920,0.6206377036838077,0.7870844709501649,0.5860037155151367,0.8047,131.14172458648682
1170,74880,0.47631321850920283,0.8393691507846566,0.45477582397460936,0.8484,196.27914094924927
1560,99840,0.4378395057746842,0.8458969915476516,0.39470519180297853,0.8634,261.44026279449463
1950,124800,0.34377280992920634,0.8871177579818859,0.37083817901611327,0.8769,326.4019033908844
2340,149760,0.35380342216108573,0.8757009204222358,0.3520081039428711,0.8781,391.55549478530884
2730,174720,0.28859822584291933,0.9026323545415588,0.33064768981933595,0.8874,457.7914276123047
3120,199680,0.27779769715686264,0.9066857428821069,0.31369248428344726,0.8935,523.7961802482605
3510,224640,0.23427397853123783,0.919740765756685,0.31546818313598635,0.8934,588.5248353481293
3900,249600,0.23403501348061354,0.9190430398720623,0.2744748603820801,0.9076,660.8565063476562
4290,274560,0.19344351111529112,0.9377298852847058,0.28462195892333986,0.9047,725.6216135025024
4680,299520,0.18221537498675525,0.937443351922544,0.27489178619384763,0.9087,790.7353405952454
5070,324480,0.15902612482874948,0.9465897328149749,0.26704200439453124,0.9141,855.5585098266602
5460,349440,0.16571867288197936,0.9467034907570129,0.2643269012451172,0.9147,920.1660599708557
5850,374400,0.13697688853990264,0.9549678602109476,0.259450227355957,0.9164,984.6922030448914
6240,399360,0.1317372230817784,0.9544707334662789,0.26586759262084964,0.9178,1049.2585003376007
6630,424320,0.11814114197675714,0.9580383550338313,0.2626180679321289,0.9204,1113.8841125965118
7020,449280,0.11808959611325456,0.958316558048318,0.26134752120971677,0.9222,1178.5650670528412
7410,474240,0.10485949111652233,0.9653606097767727,0.25525659942626955,0.9224,1243.3128159046173
7800,499200,0.12097022405775208,0.9608535093508876,0.24014848403930664,0.926,1307.899894952774
8190,524160,0.10112929105925801,0.9674078137173948,0.2473084014892578,0.9263,1372.5636746883392
8580,549120,0.0925192717332218,0.9680244958639118,0.24499811897277832,0.9283,1437.1064176559448
8970,574080,0.07818830894316611,0.9726975787608121,0.25824561920166017,0.9262,1501.7524378299713
9360,599040,0.09497839233931843,0.9668784678210601,0.2596595874786377,0.9256,1566.3259060382843
9750,624000,0.07978218259385172,0.9756393923244995,0.2686694869995117,0.9271,1630.910992860794
10140,648960,0.08500555212828044,0.9714407722676784,0.2689455062866211,0.9272,1695.4620652198792
10530,673920,0.06338632638263306,0.9778610682180722,0.2776769515991211,0.9259,1760.0228035449982
10920,698880,0.0747001915285589,0.9739023991951764,0.2597816619873047,0.9263,1824.5883526802063
11310,723840,0.06317660999599994,0.9792441850323518,0.2601820587158203,0.9307,1889.202955007553
11700,748800,0.07024608984098911,0.9745797628913324,0.26217502822875977,0.9323,1953.7860324382782
12090,773760,0.05316084069650994,0.9814222700066207,0.28341501312255857,0.924,2018.39808344841
12480,798720,0.07119735041921059,0.975863905770261,0.26830579833984375,0.9279,2082.9631912708282
12870,823680,0.05532292797942098,0.981026290523723,0.2578429428100586,0.9315,2147.5098490715027
13260,848640,0.06112508213276206,0.9777380409123411,0.24959851531982422,0.9323,2212.077422142029
13650,873600,0.050728784861490545,0.9821859172738618,0.26919915618896484,0.9293,2276.721759557724
14040,898560,0.05049839571501426,0.9820187556360173,0.2570470676422119,0.9332,2341.361659526825
14430,923520,0.04295880160951698,0.9840278373101995,0.2625426887512207,0.9341,2405.9333312511444
14820,948480,0.045253937185583924,0.9833978400093099,0.281752059173584,0.9286,2470.517542362213
15210,973440,0.044657279228379754,0.9837018443686705,0.26139680480957034,0.9314,2535.062980413437
15600,998400,0.04231485773940355,0.9847048387624361,0.30490624771118163,0.9258,2599.6124255657196
15990,1023360,0.039019386379457656,0.9856085361498668,0.2909126953125,0.9302,2664.144152879715
16380,1048320,0.046008625656592944,0.9849583940833757,0.2780904731750488,0.9272,2728.6645228862762
16770,1073280,0.03505750783185903,0.988406518916352,0.28488764572143555,0.9319,2793.3676419258118
17160,1098240,0.054748232151148324,0.9814353023589745,0.26489464035034177,0.933,2857.9166955947876
17550,1123200,0.04022327129767709,0.9868428849858359,0.2814549468994141,0.9326,2922.4670836925507
17940,1148160,0.04192472380239454,0.9857942178760016,0.27980598526000977,0.9332,2987.004230260849
18330,1173120,0.042123291372026465,0.9864007593355777,0.2709062690734863,0.9329,3051.6094229221344
18720,1198080,0.03873463384304821,0.9874870961736626,0.27394837188720705,0.932,3116.1629769802094
19110,1223040,0.035549335957010875,0.9875718350990486,0.26195757827758787,0.9373,3180.719647884369
19500,1248000,0.03891766373448295,0.9866977637080495,0.28400969467163084,0.9346,3245.2140114307404
19525,1249600,0.04411472954110196,0.9851605223156349,0.2782997978210449,0.936,3255.554178237915
