step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
12,24576,2.203149158671436,0.17583547365170132,2.034466607666016,0.2931,26.06268882751465
24,49152,1.9945467448443006,0.2586235124680794,1.792844644165039,0.4406,50.52786922454834
36,73728,1.7605100425744598,0.35021114978488915,1.116161361694336,0.6329,75.63004684448242
48,98304,1.539526288296253,0.43527301402023444,0.874622216796875,0.7028,100.10343027114868
60,122880,1.3246303034239821,0.5174649835695508,0.7481448181152344,0.7574,125.1769917011261
72,147456,1.1444686095752803,0.5857557456795505,0.767280337524414,0.7404,149.6785774230957
84,172032,0.9768872284908757,0.6485723453032424,0.7664387725830079,0.755,174.77134919166565
96,196608,0.8432233158950502,0.6985228548197948,0.471396728515625,0.8461,199.26320886611938
108,221184,0.7189618279165821,0.7445229819536304,0.4408824920654297,0.8536,224.39213252067566
120,245760,0.6216432182618332,0.779915746693385,0.5087737930297852,0.8298,248.875079870224
132,270336,0.5321180616196436,0.8125778559360146,0.4712935806274414,0.8489,273.9884204864502
144,294912,0.46167803433159493,0.8379566143873374,0.4805520462036133,0.8525,298.5015983581543
156,319488,0.39676760742026407,0.8617876143469004,0.47865852355957034,0.8484,323.4997055530548
168,344064,0.3488870426105771,0.8787897378491039,0.4859409942626953,0.85,347.9912917613983
180,368640,0.30265307583610673,0.8951730931276792,0.416407780456543,0.8617,373.07912945747375
192,393216,0.2684344529707713,0.9072598106781173,0.4455350143432617,0.8676,397.59101128578186
204,417792,0.23609612662822457,0.9187347581192585,0.41561312255859373,0.8751,422.65553975105286
216,442368,0.2117359305339236,0.9272619488005551,0.35522594604492186,0.8906,447.1611981391907
228,466944,0.1870608626449283,0.936228131187482,0.44907055816650393,0.8698,472.1861107349396
240,491520,0.16927768850351674,0.9422103568259487,0.435628197479248,0.8699,496.664026260376
252,516096,0.15170121774260997,0.9484448701426273,0.42209133605957033,0.8769,521.743643283844
264,540672,0.1404598633488413,0.9522119230666637,0.33899617843627927,0.9002,546.2243828773499
276,565248,0.12659939226118505,0.9569735324632486,0.3525885810852051,0.891,571.2800846099854
288,589824,0.11768824167621121,0.9599962109137307,0.3756099281311035,0.8917,595.7498574256897
300,614400,0.10760961818197066,0.9635713510499686,0.33154406051635743,0.9046,620.8395051956177
312,638976,0.10082666289440692,0.9659369752138264,0.33559468002319337,0.9054,645.335949420929
324,663552,0.09301933832094347,0.9686382584645442,0.3941790916442871,0.8853,670.4443595409393
336,688128,0.08731654608790189,0.9705568523040623,0.37249562530517577,0.8956,694.9344935417175
348,712704,0.07931678603671855,0.9734015132703848,0.3628772666931152,0.9003,720.0470008850098
360,737280,0.07641498497741236,0.9743007227944305,0.3483500633239746,0.9047,744.5504531860352
372,761856,0.0710661623319772,0.9760107413085549,0.34450051422119143,0.908,769.6342561244965
384,786432,0.06787424050586667,0.9769636951710675,0.37771177291870117,0.8942,794.1356754302979
396,811008,0.06330496431823496,0.9785036470425245,0.392826448059082,0.8913,819.1862490177155
408,835584,0.06167354803482891,0.9790163116366761,0.4103737106323242,0.8954,843.6707305908203
420,860160,0.05703013974241659,0.9805127258794215,0.3522685455322266,0.9063,868.7544710636139
432,884736,0.055565571979675515,0.9811142757646125,0.35517589263916016,0.9088,893.2377197742462
444,909312,0.05240081619202303,0.9821146165967158,0.3483389610290527,0.9097,918.3136246204376
456,933888,0.051487477621073294,0.9823582990114719,0.3412138328552246,0.9131,942.7954521179199
468,958464,0.0487091941379853,0.9834149861851131,0.34979146194458005,0.9077,967.8770942687988
480,983040,0.04705911857922536,0.9838638294207651,0.3737152725219727,0.9035,992.3656511306763
492,1007616,0.04493439022171972,0.9846561284255982,0.3207765411376953,0.9149,1017.4503371715546
504,1032192,0.04440508068049559,0.9850046499982116,0.3329369705200195,0.9183,1041.9607815742493
516,1056768,0.04217465199453143,0.9858743262262805,0.4800140365600586,0.8851,1067.025276184082
528,1081344,0.04139731120175232,0.9859766162829774,0.3802591407775879,0.9048,1091.5209045410156
540,1105920,0.03980742740030533,0.9864445423058666,0.34520621032714843,0.9115,1116.5064766407013
552,1130496,0.038882205316795836,0.9867616770215696,0.35153835220336915,0.9081,1140.953034877777
564,1155072,0.036972556716995515,0.987352562563586,0.33627164154052736,0.9128,1165.9587395191193
576,1179648,0.03678740023002774,0.9873807969899853,0.43259144287109375,0.9025,1190.3984258174896
588,1204224,0.03595875990672625,0.9876285347172622,0.36462421569824216,0.9099,1215.4609451293945
600,1228800,0.035389506394110246,0.9877473509445622,0.3161272979736328,0.9198,1239.9019644260406
