step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
12,24576,2.203698320637819,0.1756817220347674,2.1240197326660155,0.2967,25.728542804718018
24,49152,1.997945730516362,0.2578208851781779,2.7045153503417967,0.3789,50.20687174797058
36,73728,1.770921470688505,0.34672879566561576,2.1601957458496095,0.4485,75.29979014396667
48,98304,1.559174479790478,0.4288314860428319,1.2341612670898439,0.6047,99.79001712799072
60,122880,1.3541869788625818,0.5067976866995345,1.144594174194336,0.6455,124.87208652496338
72,147456,1.1819062739165909,0.5717323717328836,1.0587246185302734,0.6788,149.38047742843628
84,172032,1.0195023823063702,0.6334089328926144,1.4348092681884765,0.5755,174.42097806930542
96,196608,0.8876634919942933,0.6825663566860007,1.1427943786621093,0.6506,198.90166521072388
108,221184,0.7663458016125275,0.7275518166835285,0.6915711639404297,0.7788,223.98036241531372
120,245760,0.6689678847587688,0.7633037675617917,0.5581336791992187,0.8156,248.48286032676697
132,270336,0.5800806920181265,0.7959604782342249,0.6780284362792969,0.7916,273.5648868083954
144,294912,0.5060904346660061,0.8229095078660182,0.6586303527832031,0.7909,298.0673997402191
156,319488,0.43851671610406473,0.8473176889038074,0.6233978271484375,0.805,323.0588285923004
168,344064,0.3862157217896991,0.866458559006583,0.5370048126220703,0.8373,347.5708405971527
180,368640,0.3365722937779632,0.8844264049086316,0.5008253280639648,0.849,372.6597845554352
192,393216,0.2986032591489803,0.8974502750234788,0.4469217140197754,0.8663,397.1518213748932
204,417792,0.26200355733005254,0.9108051365152131,0.5464049514770508,0.8395,422.24483251571655
216,442368,0.23226030867559283,0.9213099642836816,0.4513882171630859,0.8689,446.7423930168152
228,466944,0.20488003990019152,0.9311139119196957,0.4832717956542969,0.865,471.78436303138733
240,491520,0.18274193326555999,0.9383694346966726,0.4345107955932617,0.8706,496.28826332092285
252,516096,0.16165507196150622,0.9453899224674557,0.5270586517333984,0.8437,521.3957717418671
264,540672,0.14710547467992127,0.9502870858678316,0.39666886749267577,0.8862,545.9325194358826
276,565248,0.13130793194816928,0.955682177003615,0.4040643989562988,0.8854,571.0655925273895
288,589824,0.12048209632472597,0.9592734618172764,0.44356435775756836,0.8802,595.5908892154694
300,614400,0.1092372701381426,0.9632733743211126,0.40382081146240234,0.8876,620.6549670696259
312,638976,0.10080411695059587,0.9662933833459443,0.3894469314575195,0.8953,645.1675293445587
324,663552,0.09254775781338673,0.9691086459502782,0.4076490661621094,0.8932,670.2711641788483
336,688128,0.08617840249478673,0.9713379353798212,0.4455674560546875,0.8833,694.7800371646881
348,712704,0.07908343189788142,0.9738131687884644,0.3730037612915039,0.8986,719.8642120361328
360,737280,0.07515019730674322,0.974912502869716,0.44612740707397464,0.8806,744.3619377613068
372,761856,0.06946408801254182,0.9768344269536178,0.3986636291503906,0.8987,769.4427809715271
384,786432,0.06583539794728242,0.9779051506668365,0.42518721313476565,0.8914,793.9360988140106
396,811008,0.0618946361782915,0.9791751846278628,0.4038511947631836,0.894,819.0164766311646
408,835584,0.05955062857216322,0.9799115416310393,0.44623221206665037,0.8904,843.5092768669128
420,860160,0.055823683508069905,0.9811937204408981,0.3951065773010254,0.9012,868.5587797164917
432,884736,0.0535399659843402,0.9820019098092072,0.4453257553100586,0.8913,893.0571448802948
444,909312,0.05048327649543098,0.9830178230187264,0.4051903366088867,0.8977,918.1490211486816
456,933888,0.04849614235548782,0.9836184398738719,0.36152987060546876,0.9038,942.6366305351257
468,958464,0.046119824218919615,0.984430494683942,0.42196996612548826,0.8952,967.6995692253113
480,983040,0.04450068298494042,0.9848486169861067,0.41441448135375974,0.8979,992.2129018306732
492,1007616,0.04243491934740676,0.9856800209306186,0.39800247497558594,0.9018,1017.3074355125427
504,1032192,0.04177741287992453,0.9858997758164637,0.398053369140625,0.9021,1041.8139917850494
516,1056768,0.039848593148378735,0.9865692727240275,0.37867104034423826,0.9083,1066.877495765686
528,1081344,0.03903319824607446,0.9867747874144099,0.4290918518066406,0.8952,1091.3777024745941
540,1105920,0.03708272396711024,0.987321090917988,0.3835369178771973,0.904,1116.4809470176697
552,1130496,0.0369290294476425,0.9873298218917416,0.3653991493225098,0.9125,1140.9407114982605
564,1155072,0.03545067091101656,0.9879764147827508,0.3997936637878418,0.9033,1166.0382404327393
576,1179648,0.03512170012344598,0.9879745494326991,0.3818856399536133,0.9077,1190.5468401908875
588,1204224,0.03326161837360225,0.9886252457437811,0.3784014762878418,0.9066,1215.6472170352936
600,1228800,0.033434813768049576,0.9885078829530657,0.3887860855102539,0.9066,1240.1476891040802
