step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
195,24960,0.9838609767893859,0.6565855431736494,0.8558290802001953,0.7061,63.06624102592468
390,49920,0.6553841899392358,0.7769294798155901,0.6133335540771484,0.7891,125.17904138565063
585,74880,0.4945324681261815,0.8315155064873062,0.5095597473144531,0.8312,187.54121804237366
780,99840,0.444977540177979,0.8510499142699071,0.4154730697631836,0.8585,249.72389793395996
975,124800,0.35571424153488096,0.8808475945817488,0.42722452239990233,0.8558,312.09131360054016
1170,149760,0.3461434570864622,0.8823097643470689,0.37522096252441406,0.8707,374.257595539093
1365,174720,0.2716581836567344,0.9099927919344776,0.3280986740112305,0.8858,436.5635266304016
1560,199680,0.28343193232888,0.9006230623089784,0.32267460174560547,0.8914,498.68706583976746
1755,224640,0.21891490468401822,0.9254532757545803,0.32906726150512694,0.8927,560.9309599399567
1950,249600,0.2270843955936576,0.9201464599169698,0.31771631393432614,0.9001,623.1563136577606
2145,274560,0.1846723051326143,0.9367954491741735,0.30034817352294924,0.9044,685.4284210205078
2340,299520,0.1799210588616796,0.9372626413560596,0.26142428817749025,0.9133,747.6495044231415
2535,324480,0.151553801421044,0.9495242057867789,0.28290555267333983,0.9083,809.8742327690125
2730,349440,0.15674433632431492,0.9459986598610252,0.2601599830627441,0.9124,872.0670909881592
2925,374400,0.12811599482831398,0.9574108189246866,0.2637882926940918,0.9159,934.2716627120972
3120,399360,0.13539577422777405,0.9545076053342707,0.2658901901245117,0.9136,996.436764717102
3315,424320,0.10895270515951644,0.9629187012573371,0.25318350677490237,0.9203,1058.7410697937012
3510,449280,0.11311625632102601,0.9611948029665608,0.2616653953552246,0.9223,1120.9705610275269
3705,474240,0.10150430415392765,0.9656600172109884,0.25373638610839844,0.9227,1183.2654504776
3900,499200,0.10835408211362516,0.9640135286941863,0.23457920684814454,0.9266,1245.4785957336426
4095,524160,0.08282786761175827,0.9713758531369912,0.2608798904418945,0.9208,1307.7136406898499
4290,549120,0.08425110444176628,0.9707666856740655,0.2575647445678711,0.9254,1369.8509421348572
4485,574080,0.06995197578575185,0.975314296695997,0.2705573654174805,0.9236,1432.044261455536
4680,599040,0.08557643906623051,0.9696236534120671,0.26653507385253905,0.9249,1494.161491394043
4875,624000,0.06618052928330591,0.976105189653537,0.25873770904541016,0.927,1556.3705339431763
5070,648960,0.07344020591286618,0.9744516469725074,0.2387128219604492,0.9327,1618.4903008937836
5265,673920,0.06185636471480828,0.9795027261598376,0.26562856369018556,0.9264,1680.7499520778656
5460,698880,0.06926911876878133,0.9772087754394313,0.26056286277770996,0.9259,1743.02365899086
5655,723840,0.05882179738829065,0.979599670524259,0.259969913482666,0.9297,1805.2661714553833
5850,748800,0.06396869065568855,0.9778334903182583,0.2732774955749512,0.9285,1867.4495692253113
6045,773760,0.05539741767269518,0.980511092773738,0.2673278564453125,0.9281,1929.7482948303223
6240,798720,0.052327659889351986,0.9818348921250071,0.2542125846862793,0.9287,1991.8636302947998
6435,823680,0.05082941286912132,0.9831874439925951,0.25546446075439455,0.931,2054.121078014374
6630,848640,0.05253748063182918,0.9808428056487191,0.23887394180297852,0.9334,2116.2790241241455
6825,873600,0.04928112944271536,0.9837308086017823,0.24217757568359374,0.9364,2178.5768823623657
7020,898560,0.048610610247031436,0.9838354457296932,0.26603526763916013,0.9307,2240.755778312683
7215,923520,0.04532077065318816,0.9839227826912785,0.26462565116882325,0.9279,2303.0440022945404
7410,948480,0.04849046535160922,0.982816210822389,0.2723271148681641,0.9303,2365.272133588791
7605,973440,0.039424255170192546,0.9865022447825389,0.2708763641357422,0.9318,2427.552052974701
7800,998400,0.04419967474771128,0.9843413482440013,0.263040869140625,0.9335,2489.7225816249847
7995,1023360,0.0380989435732617,0.9860302209713561,0.27157402725219726,0.9301,2551.9883556365967
8190,1048320,0.04719247364780633,0.9838092597499681,0.2522770336151123,0.9363,2614.114981174469
8385,1073280,0.03700457960830697,0.9877065084218579,0.26558308029174804,0.9354,2676.3619027137756
8580,1098240,0.04287161399707175,0.9847709806029119,0.25597691535949707,0.9368,2738.5741198062897
8775,1123200,0.035389997383482655,0.9883134089534525,0.2557602020263672,0.9352,2800.7664370536804
8970,1148160,0.0333790656323584,0.9878162033296402,0.284591219329834,0.9318,2862.922381401062
9165,1173120,0.03438246406587768,0.9882744287152319,0.284346781539917,0.9326,2925.2262539863586
9360,1198080,0.04007170097271128,0.9863344287126816,0.2559427059173584,0.9351,2987.3413388729095
9555,1223040,0.03296865190471562,0.9889703752787484,0.277544783782959,0.9336,3049.577243566513
9750,1248000,0.033094504752947944,0.9878785223686359,0.2638468353271484,0.9358,3111.756692647934
