step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
24,24576,2.0221460284864285,0.25395183969140117,2.0492806091308595,0.4017,25.147336721420288
48,49152,1.614882177538884,0.41061311591915084,1.158078692626953,0.6341,49.47200798988342
72,73728,1.248379436467551,0.5499976498170422,1.0621329833984374,0.6554,74.07400369644165
96,98304,0.9809664010379667,0.6516698881111047,0.6159609436035156,0.794,98.40740776062012
120,122880,0.7587828541219287,0.7333585923840777,0.6687457550048828,0.7721,123.02272939682007
144,147456,0.6199256347810932,0.7838190494999812,0.5091170211791992,0.827,147.36640453338623
168,172032,0.4942315791306288,0.8294774352736851,0.42079897766113283,0.857,171.95347118377686
192,196608,0.41725132592297104,0.8561901681292716,0.4683005767822266,0.853,196.30036568641663
216,221184,0.34320688134496335,0.8830089510963834,0.3940410568237305,0.8698,220.92253613471985
240,245760,0.3043919960060441,0.8967068643654433,0.38888277740478516,0.8687,245.26050853729248
264,270336,0.2581608424321521,0.9131214398818105,0.45268306121826174,0.8614,269.8393898010254
288,294912,0.23347441146760864,0.9217489976248129,0.3287622947692871,0.8942,294.17328429222107
312,319488,0.2010100042157024,0.93306703585854,0.32921933517456053,0.8888,318.78448724746704
336,344064,0.18404185981912438,0.9383048802064045,0.31195509643554686,0.8954,343.1158685684204
360,368640,0.16220189906764962,0.9453624657740696,0.3537470970153809,0.8917,367.74838519096375
384,393216,0.15217807063130984,0.9487172265361108,0.4137056167602539,0.8745,392.06730341911316
408,417792,0.13646425503476828,0.9542725426427442,0.40339045257568357,0.8782,416.68235969543457
432,442368,0.12884603806320608,0.9564701803142297,0.3127066619873047,0.9052,441.010027885437
456,466944,0.11640986694812955,0.9606219922047574,0.3735795639038086,0.8927,465.60463666915894
480,491520,0.11137187234403598,0.9620353358302489,0.33172003326416016,0.9015,489.942031621933
504,516096,0.10150819244221512,0.9656261039257649,0.3706407501220703,0.8861,514.549088716507
528,540672,0.09745632773330433,0.9667586385816729,0.3193089424133301,0.9048,538.8747384548187
552,565248,0.08905160019557326,0.9697850308653285,0.2947655403137207,0.9157,563.494838476181
576,589824,0.08593544523726537,0.9707285881074387,0.30352820739746095,0.9081,587.824728012085
600,614400,0.0783296686039459,0.9733262074997939,0.3261262069702148,0.9035,612.4293465614319
624,638976,0.07661831874948215,0.9737390497039844,0.31264563751220703,0.9115,636.7753207683563
648,663552,0.07045934416074906,0.9760908168447624,0.33977872009277343,0.9098,661.3948781490326
672,688128,0.06811284184107538,0.976679293644262,0.28709704971313477,0.9164,685.7307534217834
696,712704,0.06397382422276082,0.978081791740652,0.3186788330078125,0.912,710.3574028015137
720,737280,0.0631381974741805,0.9783373169275884,0.3003038543701172,0.9153,734.6827449798584
744,761856,0.059390660515490315,0.9798805816876812,0.31043240127563476,0.9153,759.2976496219635
768,786432,0.05884551803019193,0.9801016110345405,0.29186607360839845,0.9158,783.5922355651855
792,811008,0.05462007982307522,0.9814147042334586,0.32916114501953125,0.9128,808.1766376495361
816,835584,0.05437073449887752,0.9814800878477934,0.3720092987060547,0.9045,832.508855342865
840,860160,0.05111450175437043,0.9823620492773507,0.3154056640625,0.9156,857.0731956958771
864,884736,0.04897639710212821,0.9832325568129814,0.3248677436828613,0.916,881.3790707588196
888,909312,0.04716038374876686,0.9839761886140853,0.3665348373413086,0.9099,905.9770510196686
912,933888,0.04575218785858511,0.9844939254826951,0.31492795257568357,0.9177,930.2519493103027
936,958464,0.041535868837321764,0.9860204994400011,0.3056064682006836,0.9185,954.7840728759766
960,983040,0.04015910645914911,0.9861860223973407,0.34941869888305666,0.9131,979.0703265666962
984,1007616,0.039045282402758924,0.9868864856051363,0.2991066223144531,0.9162,1003.6005005836487
1008,1032192,0.03918090630617478,0.9866820406200428,0.31538592376708985,0.9194,1027.8772933483124
1032,1056768,0.038188917734321016,0.987376059598127,0.37357592849731447,0.906,1052.4346339702606
1056,1081344,0.03862289002840057,0.9870785314559785,0.3779676902770996,0.9103,1076.6846754550934
1080,1105920,0.03685857080255384,0.9875476266162758,0.2889649856567383,0.9246,1101.2179639339447
1104,1130496,0.03613268623693258,0.9877901047054854,0.30793389739990235,0.9219,1125.4913589954376
1128,1155072,0.03417271531294965,0.9887908490098496,0.3343973327636719,0.9178,1150.0654003620148
1152,1179648,0.03445103233053028,0.9882936752348752,0.28658047561645505,0.9269,1174.3690061569214
1176,1204224,0.03321917753021255,0.9885689682967332,0.31889898223876956,0.9223,1198.8996114730835
1200,1228800,0.03302641758466377,0.9885121825855838,0.32329776992797854,0.9224,1223.210283279419
