step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
24,24576,2.01951843991585,0.254865942514053,1.749878466796875,0.4218,25.193954467773438
48,49152,1.604998799773727,0.41365405842496167,1.1145731506347656,0.626,49.45994830131531
72,73728,1.2355757730326915,0.5540630146980172,0.6863586364746094,0.7625,73.98932719230652
96,98304,0.9680574526874118,0.6550518267744422,0.5840046508789063,0.8018,98.264577627182
120,122880,0.7492392561371072,0.735977440651227,0.5058500900268554,0.8271,122.84054017066956
144,147456,0.6104173102756003,0.7865794824197777,0.4111135757446289,0.8611,147.1246473789215
168,172032,0.48828066619594,0.8306882239895019,0.4222544143676758,0.8551,171.69877648353577
192,196608,0.4127730823671868,0.8570746293563083,0.4093758712768555,0.8597,196.00023198127747
216,221184,0.34013935878898627,0.8825770453670017,0.4004475555419922,0.8621,220.60283136367798
240,245760,0.3022539217635334,0.8961194636878684,0.3943892028808594,0.8698,244.92299795150757
264,270336,0.25656621583223854,0.9127082529377226,0.4005083267211914,0.87,269.49009895324707
288,294912,0.23012840596450465,0.9218943865113507,0.40847625274658206,0.8719,293.8095326423645
312,319488,0.1996965343665556,0.9321200632546529,0.39760841064453123,0.8745,318.4051249027252
336,344064,0.18321989494822857,0.9378567975477865,0.3046048080444336,0.9003,342.71429991722107
360,368640,0.16028561403528624,0.9458555991178341,0.4121626159667969,0.8768,367.3306782245636
384,393216,0.15052425285342205,0.949076870282366,0.4079551498413086,0.8728,391.6633355617523
408,417792,0.1340865481816277,0.9545743183794057,0.4454312377929687,0.8689,416.22445034980774
432,442368,0.12699946474534451,0.9571068958063655,0.3608591407775879,0.898,440.54766511917114
456,466944,0.11355253161466809,0.9618094108453404,0.36535292358398436,0.8902,465.1337857246399
480,491520,0.11069399760098439,0.9625957558922353,0.42345042877197264,0.8762,489.44938015937805
504,516096,0.09822980430231625,0.9670271134446032,0.31087814865112307,0.9052,514.0007874965668
528,540672,0.09338500216805444,0.9685184524114007,0.34679356002807615,0.9032,538.3134295940399
552,565248,0.08585423885357157,0.9714082505034226,0.3649513275146484,0.8939,562.8928112983704
576,589824,0.08494545645792466,0.9716122902790676,0.3392042068481445,0.9012,587.2182624340057
600,614400,0.07823614104353722,0.973445065445505,0.3466635383605957,0.899,611.7837007045746
624,638976,0.07687603465168041,0.9741156356005991,0.29198192291259767,0.9172,636.0978813171387
648,663552,0.0717229077976137,0.9761624065406359,0.34476983642578124,0.9086,660.6502449512482
672,688128,0.06807255971112539,0.9772474609058726,0.331745703125,0.9068,684.9680485725403
696,712704,0.062076790300864916,0.9793031258871425,0.40197756576538085,0.8895,709.5693774223328
720,737280,0.062146607450439706,0.9790903599286467,0.35040171813964843,0.9061,733.8839437961578
744,761856,0.058904114655071456,0.9803587196597665,0.3765299377441406,0.9034,758.4993879795074
768,786432,0.05776397490832876,0.98037997310929,0.3802144760131836,0.896,782.8125600814819
792,811008,0.05293207399516885,0.981689185763428,0.3028940818786621,0.9189,807.3582425117493
816,835584,0.05393946573045975,0.9815290277566867,0.30617160491943357,0.9169,831.6587212085724
840,860160,0.04981625252592194,0.9828883537146221,0.3290375473022461,0.911,856.2720565795898
864,884736,0.04930513393167898,0.982858145578729,0.3435977066040039,0.9119,880.5793380737305
888,909312,0.04730576251199817,0.9841023231000284,0.346195703125,0.9116,905.1454517841339
912,933888,0.04568343109460974,0.9843917929998379,0.31503758430480955,0.9144,929.4634487628937
936,958464,0.04299699639889584,0.9854328389115222,0.2901736351013184,0.9187,954.0567035675049
960,983040,0.04265221267248389,0.9854435261484401,0.31754103088378904,0.9163,978.3891167640686
984,1007616,0.04103377224575604,0.986107291853549,0.37367075500488284,0.9113,1002.9919538497925
1008,1032192,0.04114981629058296,0.9861702915149421,0.2887527862548828,0.9266,1027.3275349140167
1032,1056768,0.038544708524890156,0.9868418889435212,0.36665109329223633,0.9097,1051.942962884903
1056,1081344,0.03766537593913316,0.987178670664983,0.31966587829589843,0.9156,1076.2563564777374
1080,1105920,0.036208950148498564,0.9874403755402266,0.31020676040649414,0.9234,1100.8529851436615
1104,1130496,0.03584894278881908,0.9876266243408697,0.2976312171936035,0.9251,1125.1813611984253
1128,1155072,0.0338966362649101,0.9883326512968278,0.3832305450439453,0.9084,1149.7882537841797
1152,1179648,0.03422677099147227,0.9880414977131267,0.3165024078369141,0.921,1174.1101207733154
1176,1204224,0.03255858199785209,0.9888471423857504,0.3271109191894531,0.9205,1198.7162506580353
1200,1228800,0.03344505437670393,0.9886512870664097,0.30826988906860353,0.9247,1223.0487637519836
