step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
195,24960,0.931258069218408,0.6720010285986056,1.2164682647705078,0.6174,63.09166097640991
390,49920,0.6304603565873329,0.7861802342091465,0.6213168243408204,0.79,125.23850750923157
585,74880,0.47522103094397367,0.8379584942122663,0.49546829071044923,0.8331,187.48218512535095
780,99840,0.42533983782910745,0.8561502446469701,0.5049108551025391,0.8298,249.68276166915894
975,124800,0.34604299187447907,0.884856059236054,0.45012618103027346,0.8484,312.0418891906738
1170,149760,0.3383145029681714,0.8849572240196466,0.4069939453125,0.8617,374.1823921203613
1365,174720,0.2665230097596454,0.9079710464941365,0.33861815795898437,0.8852,436.46624302864075
1560,199680,0.26827514572341643,0.9064526882900772,0.31103028869628907,0.8933,498.6954119205475
1755,224640,0.21699567505387435,0.9263770734608933,0.30926253814697263,0.8954,560.9679040908813
1950,249600,0.222459853539677,0.92581924249259,0.3414346710205078,0.8876,623.183974981308
2145,274560,0.18849561163051948,0.936486708828251,0.3004291412353516,0.9007,685.499142408371
2340,299520,0.18091752280625506,0.9371939525193377,0.2875432876586914,0.9082,747.696019411087
2535,324480,0.15121718993034725,0.9487261176556091,0.2740318183898926,0.9095,809.973141670227
2730,349440,0.16047173093392775,0.9443812744208108,0.27778558654785157,0.9064,872.1359777450562
2925,374400,0.12767836566603258,0.9567205905723927,0.28771503143310545,0.9101,934.5908343791962
3120,399360,0.13572191817571697,0.9544539827160416,0.261601961517334,0.9179,996.7685120105743
3315,424320,0.10752233349859171,0.9636764924705251,0.35867360382080077,0.8946,1059.0705542564392
3510,449280,0.10937979750093185,0.9622824495105217,0.2556862548828125,0.9219,1121.2612917423248
3705,474240,0.09866546589695399,0.9667912077606126,0.2748761749267578,0.9166,1183.544156074524
3900,499200,0.10324328895439633,0.9638123830308299,0.2625024726867676,0.9199,1245.7799808979034
4095,524160,0.08787451930366137,0.9704379626248517,0.2934586067199707,0.9154,1308.097844839096
4290,549120,0.09107717679985645,0.9683243498541917,0.2500219192504883,0.9246,1370.296721458435
4485,574080,0.07343533555686357,0.9756828285012273,0.27098327713012693,0.924,1432.5408663749695
4680,599040,0.08820712233751889,0.9712069693949916,0.3083042739868164,0.9157,1494.7394692897797
4875,624000,0.07376211336492859,0.9746307853367456,0.26411030044555667,0.9244,1556.994427204132
5070,648960,0.0755630772070652,0.974253712015586,0.2634233703613281,0.9294,1619.1562962532043
5265,673920,0.06274992012403505,0.977204389557398,0.2683226013183594,0.9243,1681.5055937767029
5460,698880,0.06639376886376042,0.9789872897762205,0.26166649322509766,0.9244,1743.6875884532928
5655,723840,0.06229491699982053,0.9781207550029006,0.2978276557922363,0.918,1805.9895215034485
5850,748800,0.06683853435399058,0.977684775352457,0.303328303527832,0.9218,1868.199410200119
6045,773760,0.05675286866696195,0.981485130024668,0.29108014755249023,0.9212,1930.397127866745
6240,798720,0.055917739399126275,0.9805711013955701,0.28850628356933594,0.9278,1992.5869688987732
6435,823680,0.052054415645378424,0.98160684190952,0.25707096099853516,0.93,2054.883653640747
6630,848640,0.05623736004126794,0.9800471571981406,0.279502596282959,0.9261,2117.0940301418304
6825,873600,0.048023846600593036,0.9830204393383949,0.2875877296447754,0.9295,2179.3871099948883
7020,898560,0.05195437044945382,0.9820218821916548,0.2850221221923828,0.9234,2241.5811970233917
7215,923520,0.04562312469880317,0.9845450095128946,0.2742673362731934,0.9286,2303.8963663578033
7410,948480,0.05086392347512074,0.9820251628576903,0.278262809753418,0.9289,2366.087198972702
7605,973440,0.0428822868099866,0.9844673820032703,0.27974755630493164,0.9274,2428.3914635181427
7800,998400,0.040887810794674545,0.9859117391764469,0.2673107925415039,0.9325,2490.6004333496094
7995,1023360,0.038754003478011834,0.9853025855798392,0.2937585189819336,0.9272,2552.89417886734
8190,1048320,0.04361887427308016,0.9856676076615717,0.28235749588012693,0.931,2615.1023240089417
8385,1073280,0.03648625467882454,0.9880853297129215,0.29757846603393556,0.9265,2677.3558650016785
8580,1098240,0.03980378876864242,0.9874109224249312,0.27671628189086916,0.9312,2739.496511220932
8775,1123200,0.03584578673678197,0.988042881716164,0.30749863052368165,0.9232,2801.7920513153076
8970,1148160,0.04017571623015134,0.9865736071831916,0.2862755439758301,0.9281,2864.0014193058014
9165,1173120,0.035497190288380935,0.9870925409854185,0.2838840908050537,0.9309,2926.3117294311523
9360,1198080,0.03697322229221752,0.9869302891035676,0.2701443477630615,0.9329,2988.5396041870117
9555,1223040,0.03563335780539271,0.987515727128636,0.30454070205688477,0.9305,3050.7619643211365
9750,1248000,0.035762985020439286,0.9876107385472919,0.31759522323608397,0.9293,3112.937477827072
