step,samples_seen,train_loss,train_acc,test_loss,test_acc,wallclock
24,24576,2.020204749167165,0.2541724289054046,1.4696686157226562,0.4695,24.71409511566162
48,49152,1.6098705034462082,0.41252723675845177,0.9797641235351563,0.6612,48.61416721343994
72,73728,1.2451085369604196,0.5508956303139131,0.6847238998413085,0.7657,72.96562075614929
96,98304,0.9800638061013228,0.6505696550824086,0.6299181228637696,0.7877,97.07811379432678
120,122880,0.7637634292551811,0.7308976276070137,0.527088688659668,0.8244,121.56491136550903
144,147456,0.6253823217303165,0.7818769653553406,0.45615601348876955,0.8443,145.80605363845825
168,172032,0.5027313506649198,0.8262628957632403,0.44074284515380857,0.8485,170.40326809883118
192,196608,0.4255828303607171,0.8532223514055137,0.5130197402954102,0.8274,194.73700618743896
216,221184,0.3512508032749886,0.879119432214883,0.39515323486328124,0.8678,219.37929725646973
240,245760,0.31159366028863217,0.8933944930250889,0.4057712226867676,0.8695,243.727196931839
264,270336,0.2630293409513102,0.9105591287878507,0.4170166198730469,0.8696,268.3727345466614
288,294912,0.23737673487270822,0.9197062355185684,0.33581805877685544,0.8895,292.7281620502472
312,319488,0.2057646675992252,0.9306095252422139,0.3620008049011231,0.883,317.37291502952576
336,344064,0.19088006189282056,0.9353543720668602,0.3328185180664063,0.8899,341.7256717681885
360,368640,0.16648738422638099,0.9437534037355559,0.3927744613647461,0.8779,366.3182508945465
384,393216,0.154799775835553,0.9472068364380405,0.48092393646240233,0.8599,390.6506462097168
408,417792,0.13778382476042692,0.9530571155512232,0.3954491271972656,0.8774,415.2696940898895
432,442368,0.13106561292276048,0.9556036920111527,0.5269448059082031,0.8565,439.619503736496
456,466944,0.11605720427308668,0.9610846912268435,0.40312584228515624,0.8803,464.2322027683258
480,491520,0.11186941383741855,0.9627326686790479,0.4970140365600586,0.8636,488.5546495914459
504,516096,0.10022527289674174,0.9664927068166711,0.33736419296264647,0.898,513.1470119953156
528,540672,0.09711163790798183,0.967220406334824,0.3510124053955078,0.9,537.477019071579
552,565248,0.08886226222412903,0.969374642706264,0.36043447494506836,0.8969,562.0930800437927
576,589824,0.08665445415194914,0.970271421962326,0.33086752166748046,0.9043,586.4080390930176
600,614400,0.07847511040304302,0.9733056994415321,0.3795538330078125,0.8952,611.0105452537537
624,638976,0.07658664960880716,0.9740739578831574,0.3395516616821289,0.9049,635.3152511119843
648,663552,0.07046657759566727,0.9759829680086717,0.34861425628662107,0.9057,659.9072620868683
672,688128,0.0684248160410508,0.9768424258017927,0.34118583984375,0.9055,684.2262446880341
696,712704,0.06266971779102497,0.9788925372800548,0.3647956558227539,0.9003,708.8442962169647
720,737280,0.06210716487329834,0.9790016882330429,0.33832232971191406,0.9057,733.1537852287292
744,761856,0.05805570180182358,0.980093574794894,0.33923863983154295,0.9053,757.7390184402466
768,786432,0.05792349958144457,0.9801855360539753,0.37762323150634763,0.8984,782.0678486824036
792,811008,0.05505532130925248,0.9810153533200877,0.3441887008666992,0.9084,806.6569046974182
816,835584,0.055856215232825975,0.9810659464529754,0.38720969848632814,0.9004,830.9843482971191
840,860160,0.050367078206904684,0.9829004568342583,0.3018509033203125,0.9127,855.5742628574371
864,884736,0.04753036576401657,0.9835762644916195,0.519762257385254,0.8869,879.8935630321503
888,909312,0.04483544029704328,0.9847877466708537,0.3148266647338867,0.9147,904.500598192215
912,933888,0.04528362604525077,0.9844298465636298,0.34541522445678713,0.9122,928.8143451213837
936,958464,0.04378095421769735,0.9850945813562202,0.3169283805847168,0.9126,953.4558982849121
960,983040,0.04291425094493489,0.9851510597919713,0.33995223846435546,0.912,977.7388544082642
984,1007616,0.04070057987724972,0.986151162086993,0.3989966751098633,0.9052,1002.3518977165222
1008,1032192,0.04070795468943478,0.9861957047057324,0.3544040969848633,0.9059,1026.6802515983582
1032,1056768,0.03835982320451321,0.9872147255083196,0.3881848991394043,0.9082,1051.2933521270752
1056,1081344,0.03719826688008563,0.9875954226241099,0.34789643325805664,0.9105,1075.5621616840363
1080,1105920,0.03610814344681739,0.9877629390748635,0.32857212142944336,0.9114,1100.1615016460419
1104,1130496,0.03672881049001513,0.9872802213753848,0.31863351974487303,0.9148,1124.4719243049622
1128,1155072,0.034787837459691676,0.9881149792083438,0.3795703170776367,0.9029,1149.0707054138184
1152,1179648,0.034286091792450506,0.9885583267048365,0.31719084701538086,0.9164,1173.3723735809326
1176,1204224,0.03282776699835383,0.9891063004810741,0.3475237174987793,0.917,1197.968115568161
1200,1228800,0.03359523247678355,0.9886772331526777,0.3803702445983887,0.9082,1222.2907297611237
